Sentence_1,Sentence_2
ಮಾಲ್ ದಾಳಿಕೋರರು 'ಕಡಿಮೆ ಹೆಚ್ಚು' ತಂತ್ರವನ್ನು ಬಳಸಿದ್ದಾರೆ,"ಕೀನ್ಯಾದಲ್ಲಿ, ಆಕ್ರಮಣಕಾರರು 'ಕಡಿಮೆ ಹೆಚ್ಚು' ತಂತ್ರವನ್ನು ಬಳಸಿದರು"
ಕಾಂಬೋಡಿಯಾದ ಕಾರ್ಮಿಕರ ಸಾವಿನ ಸ್ಮರಣಾರ್ಥ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕರು ಹೊರಹೊಮ್ಮುತ್ತಾರೆ,ಕಾಂಬೋಡಿಯಾ ವಿರೋಧ ಪಕ್ಷದ ನಾಯಕರನ್ನು ನ್ಯಾಯಾಲಯಕ್ಕೆ ಕರೆಸಲಾಯಿತು
ದುರ್ಬಲ ಗಳಿಕೆಯು ಷೇರುಗಳನ್ನು ಕಡಿಮೆಗೊಳಿಸುತ್ತದೆ,ದುರ್ಬಲ ಗಳಿಕೆಯಿಂದಾಗಿ ವಾಲ್ ಸ್ಟ್ರೀಟ್ ಷೇರುಗಳು ಕಡಿಮೆಯಾಗಿದೆ
ಸೊಲೊಮನ್ ದ್ವೀಪದಲ್ಲಿ 6.8 ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ,ಸೊಲೊಮನ್ ದ್ವೀಪದಲ್ಲಿ 6.3 ತೀವ್ರತೆಯ ಭೂಕಂಪ ಸಂಭವಿಸಿದೆ
ಶಾಂಘೈನಲ್ಲಿ ದ್ರವ ಅಮೋನಿಯಾ ಸೋರಿಕೆ 15 ಸಾವು,ದ್ರವ ಅಮೋನಿಯಾ ಸೋರಿಕೆ ಶಾಂಘೈನಲ್ಲಿ ಕನಿಷ್ಠ 15 ಮಂದಿಯನ್ನು ಕೊಲ್ಲುತ್ತದೆ
ಸಿರಿಯಾದ ಸ್ನೇಹಿತರು ವಿರೋಧ ಒಕ್ಕೂಟವನ್ನು ಸಿರಿಯನ್ ಜನರ ಕಾನೂನುಬದ್ಧ ಪ್ರತಿನಿಧಿಯಾಗಿ ಗುರುತಿಸುತ್ತಾರೆ,ಸಿರಿಯಾದ ಸ್ನೇಹಿತರು ವಿರೋಧವನ್ನು ಏಕೈಕ ಪ್ರತಿನಿಧಿಯಾಗಿ ಗುರುತಿಸುತ್ತಾರೆ
ಭಾರತೀಯ ಮಾಧ್ಯಮ: ಕಾಮನ್‌ವೆಲ್ತ್ ಶೃಂಗಸಭೆ,ಕಾಮನ್‌ವೆಲ್ತ್ ಶೃಂಗಸಭೆಯನ್ನು ತಿರಸ್ಕರಿಸಿದ ಭಾರತೀಯ ಪ್ರಧಾನಿ
ರಷ್ಯಾ ವಿಮಾನ ದುರಂತದಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ ಏರಿಕೆಯಾಗಿದೆ,ಇಟಲಿ ಕೋಚ್ ಅಪಘಾತದಲ್ಲಿ ಸಾವಿನ ಸಂಖ್ಯೆ 39 ಕ್ಕೆ ಏರಿಕೆಯಾಗಿದೆ
ಮನೆ ತಂಗಿ' ಹಗರಣದಲ್ಲಿ 7 ಮಂದಿ ಬಂಧನ,"""ಮನೆ ಸಹೋದರಿ"" ಹಗರಣಕ್ಕಾಗಿ ಚೀನಾ 7 ಜನರನ್ನು ಬಂಧಿಸಿದೆ"
ಇರಾಕ್‌ನಲ್ಲಿ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್ ಅಂತ್ಯಕ್ರಿಯೆಯ ಮೇಲೆ ದಾಳಿ,ಸಿರಿಯಾದಲ್ಲಿ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್ ದಾಳಿ
ಬೋಯಿಂಗ್ 787 ಡ್ರೀಮ್‌ಲೈನರ್‌ಗೆ ಬೆಂಕಿ ಹತ್ತಿಕೊಂಡಿತು; ಸ್ಟಾಕ್ ಹೊಡೆತವನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ,787 ಡ್ರೀಮ್‌ಲೈನರ್‌ನಲ್ಲಿ ಬೆಂಕಿಯ ನಂತರ ಬೋಯಿಂಗ್ ಸ್ಟಾಕ್ ಉರುಳುತ್ತದೆ
ಸಿರಿಯಾ ಮಿಲಿಟರಿ ಪೊಲೀಸ್ ಮುಖ್ಯಸ್ಥರು ವಿರೋಧಕ್ಕೆ ಪಕ್ಷಾಂತರ,ಸಿರಿಯಾ ಮಿಲಿಟರಿ ಪೊಲೀಸ್ ಮುಖ್ಯಸ್ಥರು ಬಂಡುಕೋರರಿಗೆ ಪಕ್ಷಾಂತರ
ಬೆಲ್ಜಿಯಂ ಕೋಚ್ ಅಪಘಾತದಲ್ಲಿ ಐವರು ಸಾವು,ಬೆಲ್ಜಿಯಂ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ ಹದಿಹರೆಯದವರು ಸೇರಿದಂತೆ 5 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದ್ದಾರೆ
ನೈಜೀರಿಯಾದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು ಏಳು ವಿದೇಶಿ ಕಾರ್ಮಿಕರನ್ನು ಅಪಹರಿಸಿದ್ದಾರೆ,ನೈಜೀರಿಯಾದಲ್ಲಿ ಏಳು ವಿದೇಶಿ ಕಾರ್ಮಿಕರನ್ನು ಅಪಹರಿಸಲಾಗಿದೆ
ಇಸ್ರೇಲ್ ವಿಮಾನಗಳು ಸಿರಿಯಾದೊಳಗೆ ದಾಳಿ ಮಾಡುತ್ತವೆ,ಇಸ್ರೇಲ್ ಸಿರಿಯಾದ ಮೇಲೆ ವೈಮಾನಿಕ ದಾಳಿ ನಡೆಸಿತು
ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ ಇಸ್ರೇಲಿ ಪಡೆಗಳೊಂದಿಗೆ ಪ್ಯಾಲೆಸ್ತೀನಿಯರು ಘರ್ಷಣೆ ನಡೆಸಿದರು,ಪಶ್ಚಿಮ ದಂಡೆಯಲ್ಲಿ ಭದ್ರತಾ ಪಡೆಗಳೊಂದಿಗೆ ಜೆರುಸಲೆಮ್ ಪ್ಯಾಲೆಸ್ಟೀನಿಯಾದ ಘರ್ಷಣೆ
ಹೊಸ ದರ್ಫುರ್ ಬುಡಕಟ್ಟು ಘರ್ಷಣೆಯಲ್ಲಿ 10 ಮಂದಿ ಸಾವನ್ನಪ್ಪಿದರು,ನ್ಯೂ ಡಾರ್ಫರ್ ಬುಡಕಟ್ಟು ಘರ್ಷಣೆಯಲ್ಲಿ 9 ಮಂದಿ ಸತ್ತರು
ಇರಾನಿಯನ್ನರು ಅಧ್ಯಕ್ಷೀಯ ಚುನಾವಣೆಯಲ್ಲಿ ಮತ ಚಲಾಯಿಸುತ್ತಾರೆ,ಮಾಲಿ ಅಧ್ಯಕ್ಷೀಯ ಚುನಾವಣೆಯಲ್ಲಿ ಕೀಟಾ ಗೆದ್ದಿದ್ದಾರೆ
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಸ್ ಅಪಘಾತದಲ್ಲಿ 12 ಮಂದಿ ಸಾವು,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ರಸ್ತೆ ಅಪಘಾತದಲ್ಲಿ 10 ಮಂದಿ ಸಾವು
ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಯುಎಸ್ ಡ್ರೋನ್ ದಾಳಿಯ ವಿರುದ್ಧ ಪ್ರತಿಭಟನೆಯನ್ನು ಮುಂದೂಡಲಾಗಿದೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಅಮೆರಿಕದ ಡ್ರೋನ್ ದಾಳಿಗೆ 6 ಮಂದಿ ಬಲಿ
ಮಾರಣಾಂತಿಕ ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡ ಕುಸಿತದ ನಂತರ 8 ಮಂದಿಯನ್ನು ಬಂಧಿಸಲಾಗಿದೆ,"ಬಾಂಗ್ಲಾದೇಶ ಕಟ್ಟಡಗಳ ಸಂಖ್ಯೆ 352 ಕ್ಕೆ ಏರಿದ್ದು, ನಾಲ್ವರನ್ನು ಬಂಧಿಸಲಾಗಿದೆ"
ಅಫ್ಘಾನಿಸ್ತಾನದ ಯುಎಸ್ ನೆಲೆಯಲ್ಲಿ ಆತ್ಮಾಹುತಿ ಬಾಂಬರ್ 3 ಸಾವು,ಅಫ್ಘಾನಿಸ್ತಾನದಲ್ಲಿ ಅಮೆರಿಕದ ನೆಲೆಯ ಮೇಲೆ ಆತ್ಮಹತ್ಯಾ ಬಾಂಬರ್‌ಗಳು ದಾಳಿ ನಡೆಸಿದ್ದಾರೆ
"ಅಫ್ಘಾನಿಸ್ತಾನದವರು ಕಾಲೇಜುಗಳಿಗೆ ಸೇರುತ್ತಾರೆ, ತಾಲಿಬಾನ್‌ಗಳು ಸಹ",ಅಫ್ಘಾನ್ ಜಿಲ್ಲಾ ಗವರ್ನರ್ ತಾಲಿಬಾನ್‌ಗೆ ಪಕ್ಷಾಂತರ
ಉತ್ತರ ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 10 ವಿದೇಶಿ ಪ್ರವಾಸಿಗರನ್ನು ಕೊಂದಿದ್ದಾರೆ,ಪಾಕಿಸ್ತಾನದಲ್ಲಿ ಬಂದೂಕುಧಾರಿಗಳು 11 ವಿದೇಶಿ ಪರ್ವತಾರೋಹಿಗಳನ್ನು ಕೊಂದಿದ್ದಾರೆ
"ಆಪಲ್ ಆದಾಯವು ಮತ್ತೆ ತಪ್ಪುತ್ತದೆ, ಐಫೋನ್ ನಿರಾಶೆಗೊಳಿಸುತ್ತದೆ","ಸ್ಯಾಮ್‌ಸಂಗ್‌ಗಾಗಿ ವ್ಯಾಪಾರ ಸಂಸ್ಥೆ ನಿಯಮಗಳು,  ಐಫೋನ್ ಆಮದುಗಳನ್ನು ನಿಷೇಧಿಸುತ್ತದೆ"
ಮ್ಯಾಟ್ ಸ್ಮಿತ್ 4 ವರ್ಷಗಳ ನಂತರ ಡಾಕ್ಟರ್ ಹೂವನ್ನು ತೊರೆಯಲಿದ್ದಾರೆ,ಮ್ಯಾಟ್ ಸ್ಮಿತ್ ಡಾಕ್ಟರ್ ಹೂವನ್ನು ತೊರೆದರು
